Id,Classification,Profile,NarrativeGen
1346422567578595328,Opinion,Political Authority,Criticism of the government
1345106534066515971,Opinion,Political Authority,Criticism of the government
1345431288656887809,Information,Political Authority,Defense to the government
1345684109490851841,Information,Political Authority,Other
1346396906268856322,Opinion,Political Authority,Other
1346270022751178753,Humour,Regular User,Criticism of the government
1345438195975147520,Humour,Regular User,Criticism of the government
1346270377576697862,Humour,Regular User,Criticism of the government
1346270626248581122,Information,Regular User,Criticism of the government
1346270249956552708,Opinion,Regular User,Criticism of the government
1344293247615688705,Opinion,Regular User,Criticism of the government
1346271288919285760,Opinion,Regular User,Criticism of the government
1346270351689396225,Opinion,Regular User,Criticism of the government
1345045742398930947,Disinformation,Regular User,Other
1344090217083523078,Humour,Regular User,Other
1345372259691745280,Humour,Regular User,Other
1346270209955553282,Humour,Regular User,Other
1345032890833371136,Humour,Regular User,Other
1344090403977519104,Humour,Regular User,Other
1345700503024492544,Humour,Regular User,Other
1346271231679590405,Humour,Regular User,Other
1344213263312187393,Humour,Regular User,Other
1345358632276402177,Information,Regular User,Other
1344089934706126853,Information,Regular User,Other
1344089999214567425,Information,Regular User,Other
1344262663560421378,Opinion,Regular User,Other
1344697039595171841,Opinion,Regular User,Other
1346270402104975366,Opinion,Regular User,Other
1344391591230902273,Opinion,Regular User,Other
1344697121631559683,Opinion,Regular User,Other
1344090954534449154,Opinion,Regular User,Other
1344243671928070145,Opinion,Regular User,Other
1346071441209438209,Humour,Regular User,Pro-Science and Public Health/Regulations
1344399963548217346,Information,Regular User,Pro-Science and Public Health/Regulations
1346064810446893056,Opinion,Regular User,Pro-Science and Public Health/Regulations
1345060917210451969,Disinformation,Regular User,Pro-Science and Public Health/Regulations
1345338030077390850,Information,Traditional Media,Other
1345678281815814144,Disinformation,Tweeter,Criticism of the government
1345720547271913474,Disinformation,Tweeter,Criticism of the government
1346400544701747200,Disinformation,Tweeter,Criticism of the government
1345826630867046404,Humour,Tweeter,Criticism of the government
1345799055209881602,Humour,Tweeter,Criticism of the government
1344955983332847616,Humour,Tweeter,Criticism of the government
1345423490602692610,Humour,Tweeter,Criticism of the government
1346369886088531970,Humour,Tweeter,Criticism of the government
1346004449576235008,Humour,Tweeter,Criticism of the government
1344729687550005252,Humour,Tweeter,Criticism of the government
1346035003629699073,Information,Tweeter,Criticism of the government
1345632718600744962,Disinformation,Tweeter,Criticism of the government
1345496203484606465,Disinformation,Tweeter,Criticism of the government
1344380909483646980,Disinformation,Tweeter,Criticism of the government
1344599328837537792,Disinformation,Tweeter,Criticism of the government
1344243370785435650,Opinion,Tweeter,Criticism of the government
1344414197761900544,Opinion,Tweeter,Criticism of the government
1344928551410266117,Opinion,Tweeter,Criticism of the government
1344942710201978880,Opinion,Tweeter,Criticism of the government
1345668201435308033,Opinion,Tweeter,Criticism of the government
1344425352832151552,Disinformation,Tweeter,Other
1345480596701765633,Humour,Tweeter,Other
1344089987814469632,Information,Tweeter,Other
1344725953000460289,Information,Tweeter,Other
1345599380062167041,Opinion,Tweeter,Other
1345128720663719937,Opinion,Tweeter,Other
1345459433233637377,Opinion,Tweeter,Other
1345049218944282624,Information,Tweeter,Pro-Science and Public Health/Regulations
1344306139446575106,Information,Tweeter,Pro-Science and Public Health/Regulations
1345518656512516098,Opinion,Tweeter,Pro-Science and Public Health/Regulations
